,stopword,rating,sentiment
0,ribetdah aja,2.0,negative
1,ga didownload tunda tulis udah ruang yg kosong dihapetetap aja tunda mohon bantu duluuu alhamdulillah makasiih ya bintang ditambahin,5.0,negative
2,deteksi lokasi benerin lg dah dev aplikasi biar versi android versi,1.0,negative
3,komplain tgl tgl sertifikat vaksin ga jalan berkas udah upload via email tetep nihil nyata aplikasi indonesia hubung instansi aplikasi canggih adain vaksin tunggu,1.0,negative
4,akurasi lokasi lambat chek in masuk ruang publik chek out,3.0,negative
5,aplikasi kocak bodoh tolol sehat warna merah perintah bodoh rakyat buah aplikasi,1.0,negative
6,sedih gara gak masuk aplikasi pedulilindungi gak masuk kerja,1.0,negative
7,email akun keluarga email kabar lansia sanak saudara aplikasi mudah masuk aplikasi ribet,1.0,negative
8,pakai nya susah ganti nama sertifikat input nulisnya salah ulang kali verifikasi kode nya jam kecewa si layan sertifikat hilang,1.0,negative
9,vaksin sertifikat muncul perintah vaksin uda patuh tinggal cetak sertifikat aja ribet,1.0,negative
10,soalny msh sulit utk lihat menuny tdk bs buka menu,3.0,negative
11,error,4.0,negative
12,aaneh aplikasi nya ko ga buka eror,1.0,negative
13,abis diupdate ga masuk ya suruh milih warga negara pencet tuju abis pencet log in pencet manaaa,1.0,negative
14,bug akses daftar vaksin input data show notif vaksin sertifikat vaksin bug auto fc,3.0,negative
15,admin tolong apk nya apk usaha usaha inout nya scan lambat nangkap barcode nya alas radius gonta ganti jaring ya gitu out nya terkadang kadang mandai alias otomatis data inout nya hilang tolong,1.0,negative
16,administrasi tertib urus lancar,5.0,positive
17,aduh kalo ga mudah apaaplikasi bikin ribet aja,1.0,negative
18,aflikasi nya bagus suka,5.0,positive
19,ah gagal aplikasi hp g scrooolapa hp nya jelek,5.0,negative
20,butuh banget aplikasi,1.0,negative
21,coba registrasi kmaren dr barcelona dubai transit gak ,2.0,negative
22,vaksin kali,5.0,positive
23,udah vaksin cek sertifikat muncul nunggu sertifikat muncul,3.0,negative
24,akun galau tuntas,1.0,negative
25,akun kadang tdk masuk ruang publik,4.0,negative
26,akurat akuntabell,4.0,positive
27,alahamdulillah vaksin jalan,5.0,positive
28,alhamdulilah adnya apk pedulilindungi aman lancar,5.0,positive
29,alhamdulilah sertifikat vaksin yg yg,5.0,positive
30,alhamdulillaah aplikasi peduli lindung sdh dpt pakai tdk ggl lg checkin keren cepat tanggap moga k dpnnya tdk kendala lg thanks,4.0,positive
31,alhamdulillah mudah urus,5.0,positive
32,alhamdulillah biar gak sertifikat resmi pedulilindungi vaksin covid usaha jntuk perintah,5.0,positive
33,alhamdulillah g mslh atw kendala,5.0,positive
34,alhamdulillah bantu mudah jalan dll,5.0,positive
35,alhamdulillah bantu,5.0,positive
36,alhamdulillah apk nya bantu,5.0,positive
37,alhamdulillah kendala bingung dlm moga manfaat semuax smga jdi yg masyarakat indonesia,5.0,positive
38,alhamdulillah vaksin tubuh sehat,5.0,positive
39,alhamdulillah sabar nunggu sertifikat vaksin dosis didownload nik daftar dukcapil kirim email pedulilindungi ngurus nik ktp urus,5.0,positive
40,alhamdulillah fungsi mestinyatrims respon layan pakai aplikasi peduli lindungsemoga kes lamatan kesehatansemoga pandemi,5.0,positive
41,alhamdulillah,4.0,positive
42,alhamdulillah,5.0,positive
43,alhamdulillah akses terima kasih,5.0,positive
44,alhamdulillah lbh mudah deteksi aman yg kunjung moga bs lbh bs lbh kontrol situasi ttp aman,5.0,positive
45,alhamdulillah buka,5.0,positive
46,alhmdllah sukses aman lancar,4.0,positive
47,alhmdllah sertifikat yg dah adasangat mksh,5.0,positive
48,alhmdllah vaksinasi online pedulilindungi,5.0,positive
49,allahuakbar manfaat masyarakat indonesia aplikasi pedulilindungi kerja perintah indonesia bantu masyarakat indonesia tangan sakit coronavirusdisease covid pandemi virus landa dunia moga allah subhanahu wa taala lindung sehat walafiat tenaga sehat medis negara republik indonesia cinta nkri harga mati allahuakbar,5.0,positive
50,amplikasi gmana gak buka cma muncul bahasa negaragmna masuk akun scan barkot,2.0,negative
51,amplikasi tanggung gak si bukak gk tp suruh downlod kecewa,2.0,negative
52,amplikasinya jelek error sharusnya klu ayom msarakat aplikasi d mudah masuk tgl lahir aja mundur banget kbayang klu lahir thn han teing gel eta ramo jga error hrus blik lg blik lg jd males klu tda kprluan mending ga download susah mlawan pmerintah mah hese knapa ga bsa lompat tgl jd lbih mudah ga rbet mhon d mudah d,2.0,negative
