content,sentiment
Sangat mudah untuk digunakan,positive
Aplikasi ini sangat membantu saya karna saya selalu keluar daerah mksih yahh Aplikasi PeduliLindung,positive
Bagus buat kesehatan,positive
Tombol setuju di awal nya gak ada. Ini aplikasi sangat User Friendly banget. Sangat bagus sekali. Ini membuktikan kehebatan perkembangan ilmu pengetahuan dan teknologi kita yang mengalami peningkatan. Syaloom,positive
Sangat mudah untuk digunakan,positive
"Selamat malam. Aplikasi nya bagus dan bermanfaat sekali. Menurut saya aplikasi nya sangat membantu WNI.tapi aplikasi nya hanya kurg lengkap,hanya di pinta nik KTP aja,knpa tidak di tambahahin no pasport saat mendaftar,bagaimna dg warga negara Indonesia yang sudah di vaksin di luar Indonesia. Bagaimna cara mereka agar bisa terdaftar di peduli lindungi . Terimakasih",positive
Saya puas dengan aflikasi ini tapi kenapa tidak bisa mengecek lebih dari satu orang,positive
Aplikasi ini sangat membantu saya karna saya selalu keluar daerah mksih yahh Aplikasi PeduliLindung,positive
Sangat membantu mempercepat pelayanan dan menjamin kesehatan klien.,positive
Aplikasi ini untuk memantau perkembangan covid-19,positive
Secara umum aplikasinya bagus,positive
Udah bagus aplikasi ini cukup membantu tapi kalau mau mengubah nama seseorang di sertifikat menjadi hurup kapital semua gimana ya tlong dibantu terima kasih.,positive
"Bagus, Cuma sayang, satu aplikasi tidak bisa digunakan mengakses data beberapa orang/keluarga. Mohon bisa dipertimbangkan saran kami. (spt. BPJS app, bisa utk. Beberapa no.HP. terimakasih)",positive
Praktis dan mudah untuk aktifitas di tempat ramai seperti mall dan lainnya,positive
Cepat bermanfaat,positive
Lumayan bagus lah,positive
Sangat membantu dalam proses perjalanan,positive
Saat mau lihat sertifikat vaksin aplikasi langsung keluar.,positive
"Udah lebih ringan dan simple, tp masih blm paham cara kerja check-in & check-out nya, jam nya ga sesuai jg di aplikasi ga bs nentuin waktu check-in & check-out. Mohon untuk diperbaiki lagi, agar lebih akurat dalam tampilan waktu saat scan QR. Next bintang 5 klo udah akurat semuanya.",positive
ya mudah dan pasti aman,positive
Sangat bermanfaat,positive
Aplikasi yg sangat membantu,positive
