,stopword,sentiment
0,mudah,positive
1,aplikasi bantu karna daerah mksih yahh aplikasi pedulilindung,positive
2,bagus sehat,positive
3,tombol tuju nya gak aplikasi user friendly banget bagus bukti hebat kembang ilmu teknologi alami tingkat syaloom,positive
4,mudah,positive
5,selamat malam aplikasi nya bagus manfaat aplikasi nya bantu wnitapi aplikasi nya kurg lengkaphanya pinta nik ktp ajaknpa tambahahin no pasport mendaftarbagaimna dg warga negara indonesia vaksin indonesia bagaimna daftar peduli lindung terimakasih,positive
6,puas aflikasi ecek orang,positive
7,aplikasi bantu karna daerah mksih yahh aplikasi pedulilindung,positive
8,bantu cepat layan jamin sehat klien,positive
9,aplikasi pantau kembang covid,positive
10,aplikasi bagus,positive
11,udah bagus aplikasi bantu ubah nama orang sertifikat hurup kapital gimana ya tlong bantu terima kasih,positive
12,bagus sayang aplikasi akses data orangkeluarga mohon timbang saran spt bpjs app utk nohp terimakasih,positive
13,praktis mudah aktifitas ramai mall,positive
14,cepat manfaat,positive
15,lumayan bagus,positive
16,bantu proses jalan,positive
17,lihat sertifikat vaksin aplikasi langsung,positive
18,udah ringan simple tp blm paham kerja checkin checkout nya jam nya ga sesuai jg aplikasi ga bs nentuin checkin checkout mohon akurat tampil scan qr next bintang klo udah akurat,positive
19,ya mudah aman,positive
20,manfaat,positive
21,aplikasi yg bantu,positive
22,apk nya bagussejak pakai gak kendala sih kolom ulas yg gak bisabanyak kendala hp yg kentangbkn apk nya yg salah awokwok  ,positive
23,buka aplikasi nya cepat,positive
24,udah masuk nya susah masuk coba ubah tampil huruf nya langsung masuk aplikasi nya makasih banget saran nya,positive
25,ok bagus,positive
26,alhmdllah sukses aman lancar,positive
27,testi thn lahir upgrade versi cb sesuai arah dr pedulilindungi nyata hasil terima kasih,positive
28,udah lumayanmeski check in kali dulusemoga tingkat,positive
29,maksih bgus bngt warga,positive
30,puas bantu makasih,positive
31,aplikasi bagus lihat sertivikat vaksin dgn mudah pokok bantu dgn aplikasi,positive
32,ok,positive
33,bagus murid checkin kendala suka error pas checkin suka susah buka moga cepat,positive
34,manfaat utama layan publik,positive
35,registrasi mudah sukses applikasinya lumayan bagus sesuai perangkat android os android ram gb rom layar hd,positive
36,aplikasi yg tuju,positive
37,aplikasi bantu lancar mobilisasi kerja sopir terbit esertifikat vaksin terbitmuncul aplikasi semenjak selesai vaksinasi,positive
38,mudah mempergunaknnya,positive
39,yg,positive
40,mndukungtrimaksih ap likas peduli lindung,positive
41,bantu dgn nya google play efisien cepat akurat informasi contoh nya yg kait dng sehat informasi yg nya moga layan manfaat orang masuk layan yg hrs jaga sukses google play,positive
42,,positive
43,senang aplikasi pedulilindungi iniuntuk mudah masyarakat lihat sertifikatnyabahwa vaksin,positive
44,kualitas apk ny bagus,positive
45,cek data vacin,positive
46,aplikasi yg mudah informasi,positive
47,moga manfaat amal ibadah,positive
48,moga lancar akses,positive
49,manfaat,positive
50,,positive
51,program,positive
52,moga manfaat,positive
53,urus lancarmantul banget,positive
54,mantap lanjutken,positive
55,peduli lindung bantu,positive
56,sungguh bantu,positive
57,manfaat aplikasi ecek sertifikat vaksinnasi covid kendala terima sertifikat vaksinasi sertifikat jalan vaksin masuk sertifikat nya mohon aplikasi mohon terima kasih,positive
58,bgs peduli lindung masuk mall spy jaga badan aman n lingkung yg sehat anjur dri perintah tuju n dukung terimakasih peduli lindung,positive
59,akurat akuntabell,positive
60,manfaat manusia d pelosok dunia,positive
61,app banget pergi kemanajadi ga ribed klo pake pedulilindungi nik ga double kalo emang bikin kartu vaksin keluarga pake hp download aja,positive
62,mudah digunakanayo instal kawan,positive
63,lumayan bantu,positive
64,bantu bgt,positive
65,uda membantumelindungi warga utk selamat,positive
66,tangan covid,positive
67,vaksin kuat,positive
68,bantu tolong tingkat keamananya,positive
69,bagus bantu,positive
